Month,Day,Low,High,NormalLow,NormalHigh,RecordLow,LowYr,RecordHigh,HiYear,Precip,RecordPrecip,PrecipYr,date,Record,RecordText,RecordP,CulmPrec,dateInYear,month_name
1,1,47,52,44,56,31,1965,68,1996,0.09,2.16,2004,1/1/11,FALSE,NA,FALSE,0.09,1,Jan
1,2,48,51,44,56,29,1960,69,1996,0.35,1.67,1977,1/2/11,FALSE,NA,FALSE,0.43999999999999995,2,Jan
1,3,45,53,44,56,31,1950,69,2000,0,1.33,1974,1/3/11,FALSE,NA,FALSE,0.43999999999999995,3,Jan
1,4,39,53,44,56,29,1949,62,2006,0,5.59,1982,1/4/11,FALSE,NA,FALSE,0.43999999999999995,4,Jan
1,5,38,55,44,56,26,1949,65,1986,0,1.98,1959,1/5/11,FALSE,NA,FALSE,0.43999999999999995,5,Jan
1,6,37,52,44,56,29,1950,66,2003,0,2.34,1993,1/6/11,FALSE,NA,FALSE,0.43999999999999995,6,Jan
